id,datetime,user_id,location_id
1,2011-01-01 00:24:04,232,2
2,2011-01-01 00:30:19,54,14
3,2011-01-01 00:39:08,201,5
4,2011-01-01 01:01:12,298,13
5,2011-01-01 01:02:37,23,14
6,2011-01-01 01:16:35,82,18
7,2011-01-01 01:27:52,104,14
8,2011-01-01 01:34:37,263,5
9,2011-01-01 01:35:13,72,2
10,2011-01-01 01:50:21,212,8
11,2011-01-01 01:57:52,110,1
12,2011-01-01 02:13:28,5,18
13,2011-01-01 02:15:49,214,18
14,2011-01-01 02:22:47,196,7
15,2011-01-01 02:45:06,174,19
16,2011-01-01 02:50:47,264,7
17,2011-01-01 03:16:25,175,0
18,2011-01-01 03:25:11,22,1
19,2011-01-01 03:38:21,166,0
20,2011-01-01 06:08:49,254,16
21,2011-01-01 06:27:03,103,14
22,2011-01-01 07:57:19,146,15
23,2011-01-01 08:23:20,236,9
24,2011-01-01 09:11:21,156,18
25,2011-01-01 09:16:42,256,0
26,2011-01-01 09:16:43,162,7
27,2011-01-01 09:25:19,25,0
28,2011-01-01 09:27:24,256,4
29,2011-01-01 09:46:36,133,8
30,2011-01-01 09:53:30,180,16
31,2011-01-01 09:53:41,260,12
32,2011-01-01 10:00:14,28,16
33,2011-01-01 10:00:50,11,10
34,2011-01-01 10:18:32,106,3
35,2011-01-01 10:23:58,145,7
36,2011-01-01 10:25:20,55,16
37,2011-01-01 10:28:12,229,19
38,2011-01-01 10:29:07,50,5
39,2011-01-01 10:32:06,213,3
40,2011-01-01 10:32:52,19,1
41,2011-01-01 10:49:28,2,18
42,2011-01-01 10:50:17,14,8
43,2011-01-01 10:57:06,201,7
44,2011-01-01 11:02:01,74,7
45,2011-01-01 11:02:47,113,5
46,2011-01-01 11:03:02,195,4
47,2011-01-01 11:06:19,21,1
48,2011-01-01 11:07:06,224,5
49,2011-01-01 11:07:34,283,9
50,2011-01-01 11:07:35,172,18
51,2011-01-01 11:08:22,117,1
52,2011-01-01 11:18:00,92,19
53,2011-01-01 11:20:30,224,6
54,2011-01-01 11:27:03,188,2
55,2011-01-01 11:33:03,160,11
56,2011-01-01 11:34:50,265,9
57,2011-01-01 11:35:35,21,10
58,2011-01-01 11:36:11,298,14
59,2011-01-01 11:40:35,113,15
60,2011-01-01 11:42:00,279,3
61,2011-01-01 11:42:15,269,8
62,2011-01-01 11:45:40,192,3
63,2011-01-01 11:50:41,160,13
64,2011-01-01 11:51:49,163,4
65,2011-01-01 11:55:58,74,11
66,2011-01-01 11:56:34,205,10
67,2011-01-01 11:56:42,234,14
68,2011-01-01 11:59:23,0,8
69,2011-01-01 11:59:52,196,7
70,2011-01-01 12:02:00,78,9
71,2011-01-01 12:04:26,78,1
72,2011-01-01 12:04:58,182,13
73,2011-01-01 12:05:35,289,20
74,2011-01-01 12:07:09,244,12
75,2011-01-01 12:07:54,130,18
76,2011-01-01 12:14:43,65,2
77,2011-01-01 12:16:01,110,20
78,2011-01-01 12:17:19,43,19
79,2011-01-01 12:18:14,104,10
80,2011-01-01 12:19:27,297,19
81,2011-01-01 12:19:40,252,15
82,2011-01-01 12:20:29,176,9
83,2011-01-01 12:24:52,250,16
84,2011-01-01 12:25:04,142,4
85,2011-01-01 12:30:01,291,13
86,2011-01-01 12:30:16,202,11
87,2011-01-01 12:31:49,286,5
88,2011-01-01 12:32:20,167,14
89,2011-01-01 12:33:19,45,3
90,2011-01-01 12:33:47,196,3
91,2011-01-01 12:34:49,202,16
92,2011-01-01 12:35:16,101,14
93,2011-01-01 12:36:34,154,18
94,2011-01-01 12:40:11,145,6
95,2011-01-01 12:41:48,42,1
96,2011-01-01 12:45:08,171,16
97,2011-01-01 12:48:21,54,2
98,2011-01-01 12:51:02,244,10
99,2011-01-01 13:00:14,279,17
100,2011-01-01 13:00:14,104,10
101,2011-01-01 13:00:45,181,7
102,2011-01-01 13:04:57,25,6
103,2011-01-01 13:07:21,259,15
104,2011-01-01 13:07:37,191,18
105,2011-01-01 13:09:05,8,18
106,2011-01-01 13:09:14,25,10
107,2011-01-01 13:09:53,139,3
108,2011-01-01 13:10:15,290,20
109,2011-01-01 13:10:28,31,13
110,2011-01-01 13:11:37,162,13
111,2011-01-01 13:12:24,192,4
112,2011-01-01 13:16:41,199,11
113,2011-01-01 13:19:13,250,8
114,2011-01-01 13:19:19,203,8
115,2011-01-01 13:22:32,182,17
116,2011-01-01 13:23:20,98,2
117,2011-01-01 13:23:45,218,8
118,2011-01-01 13:24:49,273,16
119,2011-01-01 13:25:28,74,20
120,2011-01-01 13:27:18,169,12
121,2011-01-01 13:29:47,212,4
122,2011-01-01 13:30:02,106,2
123,2011-01-01 13:33:59,77,5
124,2011-01-01 13:34:25,282,17
125,2011-01-01 13:36:23,249,8
126,2011-01-01 13:36:43,70,5
127,2011-01-01 13:38:25,221,18
128,2011-01-01 13:38:25,233,15
129,2011-01-01 13:39:26,214,3
130,2011-01-01 13:41:28,28,9
131,2011-01-01 13:41:39,99,13
132,2011-01-01 13:45:36,158,15
133,2011-01-01 13:45:47,165,16
134,2011-01-01 13:48:02,213,1
135,2011-01-01 13:48:04,97,12
136,2011-01-01 13:48:36,293,11
137,2011-01-01 13:49:40,260,4
138,2011-01-01 13:50:35,85,3
139,2011-01-01 13:51:42,65,10
140,2011-01-01 13:52:10,139,16
141,2011-01-01 13:52:18,57,14
142,2011-01-01 13:52:43,121,13
143,2011-01-01 13:53:54,187,16
144,2011-01-01 13:56:19,289,16
145,2011-01-01 13:56:44,162,2
146,2011-01-01 14:04:33,202,18
147,2011-01-01 14:09:56,244,0
148,2011-01-01 14:13:10,211,12
149,2011-01-01 14:13:58,47,12
150,2011-01-01 14:16:57,77,14
151,2011-01-01 14:23:58,41,0
152,2011-01-01 14:24:06,99,18
153,2011-01-01 14:24:46,153,6
